Darts Thrown, Darts Hit, Singles, Doubles, Misses, Average Hit %, Points Out of Total, Date
      5     ,     3    ,    3   ,    0   ,  2   ,      60%     ,       3/10         , 2023-04-22
      99     ,     45    ,    37   ,    8   ,  53   ,      45%     ,       63/198         , 2023-04-22
